Date,BDI_Index,Bunker_Fuel_USD,Coal_Price_USD,Port_Wait_Days,Freight_Rate_USD
2021-01-01,2052.7,503.17,172.78,3,35.56
2021-01-02,2103.2,500.68,172.88,5,36.59
2021-01-03,2090.7,505.3,173.68,4,36.83
2021-01-04,2101.3,510.37,170.22,3,35.62
2021-01-05,2076.2,502.27,170.52,4,35.39
2021-01-06,2139.9,502.95,168.04,5,36.58
2021-01-07,2067.9,512.7,168.91,3,35.31
2021-01-08,2178.1,509.32,171.66,3,36.24
2021-01-09,2092.7,503.82,173.37,3,35.11
2021-01-10,2107.5,509.56,169.29,6,37.22
2021-01-11,2080.0,505.21,168.29,4,35.97
2021-01-12,2082.5,505.87,169.58,2,34.54
2021-01-13,2088.1,510.08,171.31,5,36.74
2021-01-14,2095.2,499.97,165.09,3,35.14
2021-01-15,2042.0,501.58,162.45,2,34.19
2021-01-16,2106.4,508.06,167.6,3,35.71
2021-01-17,2036.1,506.47,165.49,3,34.38
2021-01-18,2112.5,513.76,167.52,5,36.84
2021-01-19,2120.7,508.3,168.5,2,34.25
2021-01-20,2062.7,506.43,167.47,5,35.69
2021-01-21,2145.3,521.47,173.07,3,36.81
2021-01-22,2110.9,513.65,169.56,2,35.12
2021-01-23,2152.3,515.75,169.36,6,37.15
2021-01-24,2082.4,508.93,170.19,3,36.0
2021-01-25,2170.9,513.96,164.76,3,35.96
2021-01-26,2059.3,517.85,171.15,3,35.75
2021-01-27,2095.3,512.16,167.65,5,36.91
2021-01-28,2077.6,520.41,169.74,3,35.82
2021-01-29,2149.2,516.13,164.35,2,35.16
2021-01-30,2096.3,518.28,162.73,2,35.1
2021-01-31,2111.0,517.33,169.68,3,36.93
2021-02-01,2142.7,530.19,168.17,4,36.5
2021-02-02,2110.4,521.44,164.16,3,37.1
2021-02-03,2088.5,516.8,164.07,2,35.94
2021-02-04,2098.5,526.77,169.86,2,35.7
2021-02-05,2105.3,517.11,162.72,3,35.92
2021-02-06,2138.7,524.82,171.01,5,36.8
2021-02-07,2115.5,514.53,163.18,3,35.81
2021-02-08,2160.3,518.23,167.58,6,37.18
2021-02-09,2064.2,526.39,164.46,3,35.58
2021-02-10,2126.8,529.62,167.04,2,35.21
2021-02-11,2147.5,527.31,163.37,5,36.52
2021-02-12,2115.0,526.38,164.28,3,36.54
2021-02-13,2059.8,525.96,164.66,4,35.32
2021-02-14,2071.2,520.57,161.29,6,37.13
2021-02-15,2128.1,524.85,166.28,2,34.94
2021-02-16,2121.8,526.63,162.27,2,35.93
2021-02-17,2144.6,534.69,162.87,4,36.69
2021-02-18,2098.5,531.58,160.32,3,36.49
2021-02-19,2099.5,521.5,155.36,2,35.29
2021-02-20,2099.3,532.38,162.21,2,34.78
2021-02-21,2139.9,529.27,169.76,2,35.78
2021-02-22,2122.9,528.24,164.6,4,36.57
2021-02-23,2106.0,535.1,161.92,2,35.62
2021-02-24,2167.2,537.6,160.91,3,36.83
2021-02-25,2086.6,537.5,161.48,4,36.13
2021-02-26,2115.6,529.04,162.77,3,35.55
2021-02-27,2091.6,532.06,157.3,2,35.11
2021-02-28,2177.1,535.63,163.9,4,36.85
2021-03-01,2148.6,539.21,162.41,2,35.87
2021-03-02,2106.4,532.29,162.12,4,37.4
2021-03-03,2116.1,534.09,160.98,5,37.44
2021-03-04,2160.1,529.82,159.42,3,36.7
2021-03-05,2093.0,529.68,161.07,3,36.07
2021-03-06,2087.0,540.03,160.52,3,36.12
2021-03-07,2136.6,543.05,157.37,3,36.56
2021-03-08,2124.9,536.19,156.4,5,37.11
2021-03-09,2145.6,541.84,158.11,5,37.31
2021-03-10,2149.4,538.9,162.14,3,35.64
2021-03-11,2152.3,534.12,153.45,4,36.68
2021-03-12,2071.0,539.39,152.44,5,36.56
2021-03-13,2102.2,545.5,157.02,6,37.1
2021-03-14,2136.0,537.85,156.35,3,36.13
2021-03-15,2104.2,546.06,156.39,3,36.35
2021-03-16,2064.1,525.34,156.27,3,35.9
2021-03-17,2169.8,542.73,154.54,6,38.02
2021-03-18,2087.0,539.23,159.34,2,35.88
2021-03-19,2096.9,537.46,149.74,3,36.34
2021-03-20,2111.3,539.56,151.72,3,36.06
2021-03-21,2133.8,529.31,153.56,3,36.42
2021-03-22,2057.9,538.27,148.6,3,35.04
2021-03-23,2127.6,541.27,152.66,6,37.39
2021-03-24,2113.9,546.98,157.83,2,35.72
2021-03-25,2126.5,537.09,152.57,3,36.88
2021-03-26,2086.6,535.72,152.86,2,35.66
2021-03-27,2141.4,537.32,148.04,2,35.46
2021-03-28,2093.4,544.47,149.63,3,36.35
2021-03-29,2050.8,541.58,150.01,3,36.09
2021-03-30,2085.9,537.32,149.84,3,35.91
2021-03-31,2115.9,542.56,154.3,3,36.54
2021-04-01,2141.3,540.48,151.78,2,35.04
2021-04-02,2078.7,544.84,146.43,3,34.92
2021-04-03,2074.1,536.47,150.16,6,36.57
2021-04-04,2132.6,538.32,150.57,5,37.2
2021-04-05,2076.9,537.96,152.15,3,36.5
2021-04-06,2100.6,532.55,153.13,3,35.54
2021-04-07,2098.0,541.29,145.0,5,36.56
2021-04-08,2107.5,541.04,145.27,2,35.81
2021-04-09,2077.9,539.68,143.59,5,36.52
